None,date,close
395,2016-08-29,65.18
396,2016-08-26,64.69
397,2016-08-25,66.37
398,2016-08-24,66.34
399,2016-08-23,66.28
400,2016-08-22,66.52
401,2016-08-19,66.37
402,2016-08-18,67.4
403,2016-08-17,66.5
404,2016-08-16,65.68
405,2016-08-15,66.52
406,2016-08-12,67.55
407,2016-08-11,67.72
408,2016-08-10,67.56
409,2016-08-09,67.39
410,2016-08-08,67.15
411,2016-08-05,67.85
412,2016-08-04,68.64
413,2016-08-03,68.45
414,2016-08-02,69.01
415,2016-08-01,69.31
416,2016-07-29,69.3
417,2016-07-28,68.92
418,2016-07-27,68.86
419,2016-07-26,69.74
420,2016-07-25,69.77
421,2016-07-22,70.06
422,2016-07-21,69.43
423,2016-07-20,69.35
424,2016-07-19,69.77
425,2016-07-18,69.95
426,2016-07-15,69.64
427,2016-07-14,69.38
428,2016-07-13,70.01
429,2016-07-12,69.58
430,2016-07-11,70.7
431,2016-07-08,70.71
432,2016-07-07,70.28
433,2016-07-06,71.27
434,2016-07-05,70.81
435,2016-07-01,70.14
436,2016-06-30,70.09
437,2016-06-29,68.72
438,2016-06-28,68.64
439,2016-06-27,68.35
440,2016-06-24,67.26
441,2016-06-23,66.59
442,2016-06-22,66.5
443,2016-06-21,66.77
444,2016-06-20,66.79
445,2016-06-17,67.21
446,2016-06-16,66.88
447,2016-06-15,66.24
448,2016-06-14,66.83
449,2016-06-13,66.55
450,2016-06-10,66.85
451,2016-06-09,66.96
452,2016-06-08,66.2
453,2016-06-07,65.84
454,2016-06-06,65.7
455,2016-06-03,65.81
456,2016-06-02,64.68
457,2016-06-01,64.89
458,2016-05-31,64.73
459,2016-05-27,64.31
460,2016-05-26,64.33
461,2016-05-25,63.43
462,2016-05-24,63.63
463,2016-05-23,62.95
464,2016-05-20,63.8
465,2016-05-19,63.85
466,2016-05-18,63.3
467,2016-05-17,64.51
468,2016-05-16,65.93
469,2016-05-13,65.61
470,2016-05-12,65.66
471,2016-05-11,65.21
472,2016-05-10,65.05
473,2016-05-09,65.29
474,2016-05-06,64.56
475,2016-05-05,65.15
476,2016-05-04,65.39
477,2016-05-03,64.5
478,2016-05-02,64.36
479,2016-04-29,63.5
480,2016-04-28,63.06
481,2016-04-27,63.93
482,2016-04-26,62.9
483,2016-04-25,62.81
484,2016-04-22,62.74
485,2016-04-21,62.26
486,2016-04-20,63.7
487,2016-04-19,65.84
488,2016-04-18,66.24
489,2016-04-15,66.05
490,2016-04-14,65.59
491,2016-04-13,65.79
492,2016-04-12,66.31
493,2016-04-11,65.68
494,2016-04-08,66.01
495,2016-04-07,65.5
496,2016-04-06,65.63
497,2016-04-05,65.4
498,2016-04-04,66.58
499,2016-04-01,67.01
500,2016-03-31,66.4
501,2016-03-30,66.02
502,2016-03-29,66.03
503,2016-03-28,65.0
